Year,US GDP,US Population,Global Population,Foreign Policy
1929,1.057,121769000,#N/A,0
1930,0.967,123075000,#N/A,0
1931,0.905,124038000,#N/A,0
1932,0.788,124839000,#N/A,0
1933,0.778,125580000,#N/A,0
1934,0.862,126372000,#N/A,0
1935,0.939,127251000,#N/A,0
1936,1.061,128054000,#N/A,0
1937,1.115,128822000,#N/A,0
1938,1.078,129825000,#N/A,0
1939,1.164,130884000,#N/A,0
1940,1.266,131955000,#N/A,0
1941,1.49,133122000,#N/A,0
1942,1.772,133922000,#N/A,0
1943,2.074,134242000,#N/A,0
1944,2.239,132883000,#N/A,0
1945,2.218,132479000,#N/A,0
1946,1.961,140055000,#N/A,0
1947,1.939,143444000,#N/A,0
1948,2.02,146091000,#N/A,0
1949,2.009,148666000,#N/A,0
1950,2.184,151330000,#N/A,0
1951,2.36,153982000,2583816786,0
1952,2.456,156391000,2630584384,0
1953,2.571,158957000,2677230358,0
1954,2.557,161882000,2724302468,0
1955,2.739,165068000,2772242535,0
1956,2.797,168089000,2821383444,0
1957,2.856,171189000,2871952278,0
1958,2.835,174153000,2924081243,0
1959,3.031,177136000,2977824686,0
1960,3.109,179322000,3033212527,0
1961,3.188,182976000,3090305279,1
1962,3.383,185739000,3149244245,1
1963,3.53,188434000,3210271352,1
1964,3.734,191085000,3273670772,1
1965,3.977,193460000,3339592688,1
1966,4.239,195499000,3408121405,1
1967,4.355,197375000,3479053821,1
1968,4.569,199312000,3551880700,1
1969,4.713,201305000,3625905514,0
1970,4.722,203302031,3700577650,0
1971,4.878,206827025,3775790900,0
1972,5.134,209283907,3851545181,0
1973,5.424,211357478,3927538695,0
1974,5.396,213341554,4003448151,0
1975,5.385,215465250,4079087198,0
1976,5.675,217562732,4154287594,1
1977,5.937,219759868,4229201257,1
1978,6.267,222095080,4304377112,1
1979,6.466,224567241,4380585755,1
1980,6.45,226545805,4458411534,1
1981,6.618,229465717,4537845777,0
1982,6.491,231664452,4618776168,0
1983,6.792,233791992,4701530843,0
1984,7.285,235824901,4786483862,0
1985,7.594,237923796,4873781796,0
1986,7.861,240132883,4963633228,0
1987,8.133,242288918,5055636132,0
1988,8.475,244498983,5148556956,0
1989,8.786,246819230,5240735117,0
1990,8.955,248709873,5330943460,0
1991,8.948,252980941,5418758803,0
1992,9.267,256514224,5504401149,0
1993,9.521,259918588,5588094837,1
1994,9.905,263125821,5670319703,1
1995,10.18,266278393,5751474416,1
1996,10.56,269394284,5831565020,1
1997,11.04,272646925,5910566295,1
1998,11.53,275854104,5988846103,1
1999,12.07,279040168,6066867391,1
2000,12.56,281421906,6145006989,1
2001,12.68,284968955,6223412158,0
2002,12.91,287625193,6302149639,0
2003,13.27,290107933,6381408987,0
2004,13.77,292805298,6461370865,0
2005,14.23,295516599,6542159383,0
2006,14.61,298379912,6623847913,0
2007,14.87,301231207,6706418593,0
2008,14.83,304093966,6789771253,0
2009,14.42,306771529,6873741054,1
2010,14.78,308745538,6958169159,1
2011,15.02,311644280,7043008586,1
2012,15.36,313993272,7128176935,1
2013,15.61,316234505,7213426452,1
2014,16.01,318622525,7298453033,1
2015,16.47,321039839,7383008820,1
2016,16.72,323405935,7466964280,1
2017,17.1,325719178,7550262101,1